*** gpac-custom-filter logs (GPAC version 1.1.0-DEV-revUNKNOWN-HEAD ) - test date 29/04/2021 23:35:25 ***


*** Subtest "custom": executing "gpac  -mem-track -noprog -for-test -old-arch -no-reassign -p=0 -i ./media/auxiliary_files/enst_video.h264 -lcf" ***
PID enst_video.h264 Got packet CTS 0
PID enst_video.h264 Got packet CTS 160000
PID enst_video.h264 Got packet CTS 320000
PID enst_video.h264 Got packet CTS 480000
PID enst_video.h264 Got packet CTS 640000
PID enst_video.h264 Got packet CTS 800000
PID enst_video.h264 Got packet CTS 960000
PID enst_video.h264 Got packet CTS 1120000
PID enst_video.h264 Got packet CTS 1280000
PID enst_video.h264 Got packet CTS 1440000
PID enst_video.h264 Got packet CTS 1600000
PID enst_video.h264 Got packet CTS 1760000
PID enst_video.h264 Got packet CTS 1920000
PID enst_video.h264 Got packet CTS 2080000
PID enst_video.h264 Got packet CTS 2240000
PID enst_video.h264 Got packet CTS 2400000
PID enst_video.h264 Got packet CTS 2560000
PID enst_video.h264 Got packet CTS 2720000
PID enst_video.h264 Got packet CTS 3040000
PID enst_video.h264 Got packet CTS 2880000
PID enst_video.h264 Got packet CTS 3520000
PID enst_video.h264 Got packet CTS 3200000
PID enst_video.h264 Got packet CTS 3360000
PID enst_video.h264 Got packet CTS 4000000
PID enst_video.h264 Got packet CTS 3680000
PID enst_video.h264 Got packet CTS 3840000
PID enst_video.h264 Got packet CTS 4480000
PID enst_video.h264 Got packet CTS 4160000
PID enst_video.h264 Got packet CTS 4320000
PID enst_video.h264 Got packet CTS 4960000
PID enst_video.h264 Got packet CTS 4640000
PID enst_video.h264 Got packet CTS 4800000
PID enst_video.h264 Got packet CTS 5440000
PID enst_video.h264 Got packet CTS 5120000
PID enst_video.h264 Got packet CTS 5280000
PID enst_video.h264 Got packet CTS 5920000
PID enst_video.h264 Got packet CTS 5600000
PID enst_video.h264 Got packet CTS 5760000
PID enst_video.h264 Got packet CTS 6080000
PID enst_video.h264 Got packet CTS 6240000
PID enst_video.h264 Got packet CTS 6560000
PID enst_video.h264 Got packet CTS 6400000
PID enst_video.h264 Got packet CTS 6880000
PID enst_video.h264 Got packet CTS 6720000
PID enst_video.h264 Got packet CTS 7040000
PID enst_video.h264 Got packet CTS 7520000
PID enst_video.h264 Got packet CTS 7200000
PID enst_video.h264 Got packet CTS 7360000
PID enst_video.h264 Got packet CTS 8000000
PID enst_video.h264 Got packet CTS 7680000
PID enst_video.h264 Got packet CTS 7840000
PID enst_video.h264 Got packet CTS 8480000
PID enst_video.h264 Got packet CTS 8160000
PID enst_video.h264 Got packet CTS 8320000
PID enst_video.h264 Got packet CTS 8960000
PID enst_video.h264 Got packet CTS 8640000
PID enst_video.h264 Got packet CTS 8800000
PID enst_video.h264 Got packet CTS 9440000
PID enst_video.h264 Got packet CTS 9120000
PID enst_video.h264 Got packet CTS 9280000
PID enst_video.h264 Got packet CTS 9920000
PID enst_video.h264 Got packet CTS 9600000
PID enst_video.h264 Got packet CTS 9760000
PID enst_video.h264 Got packet CTS 10240000
PID enst_video.h264 Got packet CTS 10080000
PID enst_video.h264 Got packet CTS 10560000
